time,flow
2021-03-17,0.0120867663998764
2021-03-18,0.0120913721899164
2021-03-19,0.011372178347595
2021-03-20,0.0108348413861234
2021-03-21,0.0109497080274105
2021-03-22,0.0106101454681572
2021-03-23,0.0140102926898431
2021-03-24,0.0141298465362185
2021-03-25,0.0140309779383709
2021-03-26,0.0137559329572693
2021-03-27,0.012491975611092
2021-03-28,0.0163309415298787
2021-03-29,0.0210813803562777
2021-03-30,0.0268347426631071
2021-03-31,0.0322714151652886
2021-04-01,0.032006426091663
2021-04-02,0.0315802348939974
2021-04-03,0.0286655153025294
2021-04-04,0.0266429987703971
2021-04-05,0.0242512393099507
2021-04-06,0.0223689784283045
2021-04-07,0.0206386823541468
2021-04-08,0.0194710473937458
2021-04-09,0.0187339844504154
2021-04-10,0.01872752156008
2021-04-11,0.0194044174156764
2021-04-12,0.0186953640650433
2021-04-13,0.0177439767535554
2021-04-14,0.0163606665962794
2021-04-15,0.0149813985944704
2021-04-16,0.0157634128273798
2021-04-17,0.0216595544381225
2021-04-18,0.020121011658256
2021-04-19,0.0194304687490624
2021-04-20,0.0199781035229585
2021-04-21,0.0199779442781552
2021-04-22,0.0185701469446458
2021-04-23,0.0190912347113086
2021-04-24,0.0190217920021433
2021-04-25,0.0170967558111578
2021-04-26,0.0159527340717455
2021-04-27,0.0157543972306536
2021-04-28,0.0155547911090469
2021-04-29,0.0146015284943215
2021-04-30,0.0138649029493316
2021-05-01,0.013079347370032
2021-05-02,0.0121728611891712
2021-05-03,0.0114751213785884
2021-05-04,0.0109246732084291
2021-05-05,0.0103192698954244
2021-05-06,0.00981942674592085
2021-05-07,0.00942839637532533
2021-05-08,0.00894894062482736
2021-05-09,0.00956681790140607
2021-05-10,0.0102811706233406
2021-05-11,0.0129503909203504
2021-05-12,0.0140333176926066
2021-05-13,0.0131847007986783
2021-05-14,0.0134176174191218
2021-05-15,0.0139564601652205
2021-05-16,0.0135888344872107
2021-05-17,0.0152213077762829
2021-05-18,0.0160261120567818
2021-05-19,0.0145846868675493
2021-05-20,0.0205060527665694
2021-05-21,0.0262113583705537
2021-05-22,0.026259110527617
2021-05-23,0.0261808519891683
2021-05-24,0.0215515944453675
2021-05-25,0.0233369159682555
2021-05-26,0.021451991089661
2021-05-27,0.0210907803091276
2021-05-28,0.0197412862821981
2021-05-29,0.0192749356189658
2021-05-30,0.0155963086446554
2021-05-31,0.0135916323861114
2021-06-01,0.0097177224202395
2021-06-02,0.00626696938372422
2021-06-03,0.00434393155253182
2021-06-04,0.00321553609493761
2021-06-05,0.00299261401811581
2021-06-06,0.00451870240370901
2021-06-07,0.00648243075711723
2021-06-08,0.00722878472060877
2021-06-09,0.00798790670726817
2021-06-10,0.00812642118301602
2021-06-11,0.00723820047390073
2021-06-12,0.00775545175939804
2021-06-13,0.00761124422113583
2021-06-14,0.00936539248334737
2021-06-15,0.00959014401150992
2021-06-16,0.00802146299810634
2021-06-17,0.00681868727606993
2021-06-18,0.00699174727426018
2021-06-19,0.00803768242944507
2021-06-20,0.00951883358663902
2021-06-21,0.00932637177468519
2021-06-22,0.0185461232341369
2021-06-23,0.0193254024793417
2021-06-24,0.0179682481556788
2021-06-25,0.0208574671768433
2021-06-26,0.030910062175762
2021-06-27,0.0364924949572308
2021-06-28,0.0554453857315159
2021-06-29,0.0703045179211655
2021-06-30,0.0420056063667419
2021-07-01,0.0165842574136271
